Model_Name,r2_score,mean_sqr_err,mean_abs_error,Before_param_r2_scr,RMSE
Gradient_boost_reg,0.872139,407776.1,394.076937,0.835939,638.5734883316093
Random_forest,0.818871,584188.9,571.116748,0.7891,764.3225104626973
xgb_reg,0.797314,693458.3,605.784442,0.775715,832.7414364615225
linear_regression,0.712486,957111.6,705.021821,0.710746,978.3208062798215
lasso,0.710871,957361.0,705.140364,0.71049,978.448261279052
ridge,0.704115,957104.7,705.31725,0.710488,978.3172798228599
Adaboost_reg,0.668102,1312793.0,1032.534431,0.652814,1145.7717922867537
elastic_net,0.652125,1211667.0,978.001249,0.61802,1100.7574664747908
decision_tree,0.411745,1913105.0,1014.03199,0.411745,1383.150389509398
svr,0.198329,2388124.0,1137.879651,0.201929,1545.355622502471
